/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[77/406 новая статья 77/406] https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/Kak-sobirayut-shurupoverty-DeWALT.html
[78/406 новая статья 78/406] https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/akkumulyatornyy-alyans.html
[79/406 новая статья 79/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/monety-romana-butina.html
[80/406 новая статья 80/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-bosch-professional-2020.html
[81/406 новая статья 81/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/artel-taezhnyy-dom.html
[82/406 новая статья 82/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/motocikly-evgeniya-grigoreva.html
[83/406 новая статья 83/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-dewalt-2020_2.html
[84/406 новая статья 84/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-dewalt-2020.html
[85/406 новая статья 85/406] https://www.kuvalda.ru/blog/articles/raznoe/derevyannye-gvozdi.html
[86/406 новая статья 86/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/kanadskaya-skazka.html
[87/406 новая статья 87/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-knipex-2020.html
[88/406 новая статья 88/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/kartofelekopatel-yuriya-serbina.html
[89/406 новая статья 89/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-2020-ot-wera.html
[90/406 новая статья 90/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-husqvarna-2020.html
[91/406 новая статья 91/406] https://www.kuvalda.ru/blog/articles/raznoe/chto-takoe-sleb-i-pochemu-on-tak-populyaren.html
[92/406 новая статья 92/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita.html
[93/406 новая статья 93/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-bosch.html
[94/406 новая статья 94/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/prosto-na-pervyy-vzglyad.html
[95/406 новая статья 95/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-husqvarna_2.html
[96/406 новая статья 96/406] https://www.kuvalda.ru/blog/articles/newinstr/makita-x-lock.html
[97/406 новая статья 97/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-akkumulyatornyy-kompressor-metabo.html
[98/406 новая статья 98/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/intervyu-s-sergeem-sablinym.html
[99/406 новая статья 99/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/matias-plissnig.html
[100/406 новая статья 100/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-ot-metabo.html
[101/406 новая статья 101/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/vysshaya-stupen.html
[102/406 новая статья 102/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/ostorozhno-dveri-skladyvayutsya.html
[103/406 новая статья 103/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/amerikanka.html
[104/406 новая статья 104/406] https://www.kuvalda.ru/blog/articles/events/stihl-timbersports-2019.html
[105/406 новая статья 105/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita-odeyalo-s-podogrevom.html
[106/406 новая статья 106/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/legendarnoe-kreslo-eames-iz-bu-skeytbordov.html
[107/406 новая статья 107/406] https://www.kuvalda.ru/blog/articles/raznoe/kak-zvuchali-benzopily-60-let-nazad.html
[108/406 новая статья 108/406] https://www.kuvalda.ru/blog/articles/newinstr/eto-bolgarka-ili-cirkulyarka.html
[109/406 новая статья 109/406] https://www.kuvalda.ru/blog/articles/newinstr/prezentaciya-40-voltovoy-sistemy-makita-xgt.html
[110/406 новая статья 110/406] https://www.kuvalda.ru/blog/articles/promyshlennyj_shpionazh/istoriya-groz.html
[111/406 новая статья 111/406] https://www.kuvalda.ru/blog/articles/polz/perekrasit-vse.html
[112/406 новая статья 112/406] https://www.kuvalda.ru/blog/articles/raznoe/20-umopomrachitelnyh-zdaniy.html
[113/406 новая статья 113/406] https://www.kuvalda.ru/blog/articles/raznoe/korolevskoe-moto-gran-pri.html
[114/406 новая статья 114/406] https://www.kuvalda.ru/blog/articles/raznoe/stolyarka-s-ogonkom.html
[115/406 новая статья 115/406] https://www.kuvalda.ru/blog/articles/raznoe/most-v-srednevekove.html
[116/406 новая статья 116/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/mebelnyy-pazl.html
[117/406 новая статья 117/406] https://www.kuvalda.ru/blog/articles/polz/gazovaya-rezka-vs-plazmennaya-rezka.html
[118/406 новая статья 118/406] https://www.kuvalda.ru/blog/articles/raznoe/mobilnyy-klimat-kontrol.html
[119/406 новая статья 119/406] https://www.kuvalda.ru/blog/articles/events/vosstanavlivaem-starinnye-zdaniya-s-festivalem-tom-soyer-fest.html
[120/406 новая статья 120/406] https://www.kuvalda.ru/blog/articles/newinstr/kak-mogut-vyglyadet-svetilniki_2.html
[121/406 новая статья 121/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/stolyarnye-hitrosti.html
[122/406 новая статья 122/406] https://www.kuvalda.ru/blog/articles/raznoe/klara.html
